id,color,flex,length,tensity,N
1128,4,37,62,221,11
1129,3,37,59,208,11
1130,3,37,61,196,11
1131,3,33,64,198,11
1132,3,37,62,200,11
1133,4,42,64,219,12
1134,3,34,60,173,10
1135,4,32,65,219,12
1136,3,42,65,238,12
1137,3,39,64,210,11
1138,4,34,65,254,12
1139,3,32,62,197,11
1140,4,35,65,206,12
1141,3,37,63,202,11
1142,3,41,60,190,11
1143,3,37,62,203,11
1144,4,34,65,219,12
1145,2,31,61,207,10
1146,2,37,62,211,11
1147,3,41,60,190,11
1148,3,32,62,183,11
1149,4,38,61,230,12
1150,3,39,62,190,11
1151,3,33,61,194,11
1152,4,41,64,235,12
1153,4,40,61,262,12
1154,3,32,62,203,11
1155,3,36,61,204,11
1156,4,39,64,218,12
1157,3,40,65,215,11
1158,3,38,62,193,11
1159,3,36,62,197,11
1160,3,36,62,219,11
1161,4,36,64,221,12
1162,4,38,63,204,12
1163,2,35,59,190,10
1164,4,37,65,225,12
1165,4,25,63,199,11
1166,3,37,61,202,11
1167,4,31,57,195,11
1169,3,28,61,208,11
1170,3,33,61,198,11
1171,4,43,64,226,12
1172,3,37,60,219,11
1173,4,37,62,215,12
1174,3,40,61,203,11
1175,3,38,62,201,11
1176,4,29,60,194,11
1177,4,34,65,207,12
1178,4,37,63,215,12
1179,4,33,64,223,12
1180,2,39,59,200,10
1181,4,44,60,245,12
1182,3,29,60,192,10
1183,3,35,62,208,11
1184,3,37,63,199,11
1185,3,41,59,222,11
1186,3,32,61,207,11
1187,4,34,64,216,12
1188,3,29,70,268,12
1189,4,35,64,217,12
1190,3,32,58,188,10
1191,3,40,59,197,11
1192,4,39,63,242,12
1193,3,34,62,207,11
1194,3,43,64,221,12
1195,3,35,64,212,11
1196,3,42,65,216,12
1197,4,38,65,235,12
1198,3,38,61,205,11
1199,3,34,62,206,11
1200,4,37,64,207,12
1201,2,36,60,193,10
1202,3,31,61,207,11
1203,3,37,60,196,11
1204,4,36,61,223,12
1205,3,33,60,225,11
1206,4,42,61,206,12
1207,3,32,61,215,11
1208,4,42,66,230,12
1209,3,45,63,194,11
1210,3,34,62,215,11
1211,3,32,59,178,10
1212,3,35,61,197,11
1213,3,38,64,221,11
1214,4,37,62,209,12
1215,4,34,62,226,12
1216,4,39,62,215,12
1217,4,36,65,260,12
1218,3,35,61,228,11
1219,3,39,65,225,12
1220,2,37,58,198,10
1221,3,37,58,186,10
1222,4,35,64,217,12
